Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Default price,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Sir Ramos Drugstore - Mabalas Balas],Price [Sir Ramos Drugstore - Mabalas Balas],In stock [Sir Ramos Drugstore - Mabalas Balas],Low stock [Sir Ramos Drugstore - Mabalas Balas],"Modifier - ""Biguerlai""","Modifier - ""Biofit""","Modifier - ""MX3 Coffee""","Modifier - ""Xanthone Coffee""","Modifier - ""Sante Barley Juice""","Modifier - ""UH Ferrous""","Modifier - ""Supracid""","Modifier - ""Chilli Plaster""","Modifier - ""Facemask Regular""","Modifier - ""VIP DC""","Modifier - ""4x4 Gauze Pad""","Modifier - ""Gloves"""
10cc-syringe,11580,10cc Syringe,Generics,,N,,,,,,,10.00,3.50,,,,Y,Y,10.00,97.000,25.000,N,N,N,N,N,N,N,N,N,N,N,N
1cc-syringe,11581,1cc Syringe,Generics,,N,,,,,,,10.00,2.65,,,,Y,Y,10.00,51.000,25.000,N,N,N,N,N,N,N,N,N,N,N,N
3cc-syringe,11578,3cc Syringe,Generics,,N,,,,,,,5.00,2.65,,,,Y,Y,5.00,-5.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
3m-micropore-0.5in,10837,3M Surgical Tape 0.5in,Generics,,N,,,,,,,45.00,20.62,,,,Y,Y,45.00,25.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
3m-surgical-tape-1-inch,11880,3M Surgical Tape 1 inch,Generics,,N,,,,,,,55.00,47.50,,,,Y,Y,60.00,5.000,2.000,N,N,N,N,N,N,N,N,N,N,N,N
gauze-pad,10832,4x4 Gauze Pad,Generics,,N,,,,,,,5.00,2.50,,,,Y,Y,5.00,30.000,200.000,N,N,N,N,N,N,N,N,N,N,N,N
5cc-syringe,11579,5cc Syringe,Generics,,N,,,,,,,10.00,1.90,,,,Y,Y,10.00,115.000,30.000,N,N,N,N,N,N,N,N,N,N,N,N
abdominal-binder-8in,11574,Abdominal Binder 8in,Generics,,N,,,,,,,160.00,115.00,,,,Y,Y,250.00,2.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
absolute-6l,10815,Absolute 6L,General Merchandise,,N,,,,,,,78.00,69.91,,,,Y,Y,78.00,10.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
alcanforado-15ml,11440,Aceite Alcanforado 30ml,Branded,,N,,,,,,,18.00,13.62,,,,Y,Y,18.00,2.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
asciete-manzanilla-100ml,10929,Aceite De Manzanilla 100ml,Branded,,N,,,,,,,45.00,37.63,,,,Y,Y,45.00,2.000,2.000,N,N,N,N,N,N,N,N,N,N,N,N
aceite-de-manzanilla-25ml,11145,Aceite De Manzanilla 25ml,Branded,,N,,,,,,,18.00,13.24,48033053,,,Y,Y,18.00,6.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
aceite-de-manzanilla-50ml,11146,Aceite De Manzanilla 50ml,Branded,,N,,,,,,,25.00,20.20,4800011159034,,,Y,Y,25.00,-1.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
acetylcysteine-600mg,10351,Acetylcysteine 600mg Sachet,Generics,,N,,,,,,,25.00,6.50,,,,Y,Y,25.00,408.000,100.000,N,N,N,N,N,N,N,N,N,N,N,N
aciclovir-200mg-60ml-syrup,11713,Aciclovir 200mg 60ml Syrup,Generics,,N,,,,,,,450.00,258.00,,,,Y,Y,450.00,3.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
aciclovir-200mg-tab,11658,Aciclovir 200mg tab,Generics,,N,,,,,,,10.00,2.10,,,,Y,Y,15.00,151.000,20.000,N,N,N,N,N,N,N,N,N,N,N,N
aciclovir,10352,Aciclovir 400mg Tablet,Generics,,N,,,,,,,15.00,5.20,,,,Y,Y,25.00,52.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
aciclovir-800mg-tab,11659,Aciclovir 800mg Tab,Generics,,N,,,,,,,35.00,13.40,,,,Y,Y,35.00,60.000,20.000,N,N,N,N,N,N,N,N,N,N,N,N
aciclovir-cream,11345,Aciclovir Cream 10g,Generics,,N,,,,,,,350.00,165.00,8904346102478,,,Y,N,230.00,5.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
aciclovir-cream-5g,11859,Aciclovir Cream 5g,Generics,,N,,,,,,,210.00,115.00,,,,Y,Y,210.00,3.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
activcon-multivitamins-cap,11697,Activcon Multivitamins Cap,Generics,,N,,,,,,,10.00,3.67,,,,Y,Y,10.00,83.000,30.000,N,N,N,N,N,N,N,N,N,N,N,N
aficionado-active-55ml,11454,Aficionado Active 55ml,General Merchandise,,N,,,,,,,47.00,41.23,4806517213102,,,Y,Y,47.00,0.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
affionado-adventurous-55ml,11816,Aficionado Adventurous 55ml,General Merchandise,,N,,,,,,,47.00,41.23,,,,Y,Y,47.00,0.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
aficionado-fancy-110ml,10964,Aficionado Fancy 110ml,General Merchandise,,N,,,,,,,87.00,79.50,4806517214468,,,Y,Y,90.00,2.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
aficionado-fancy-55ml,10965,Aficionado Fancy 55ml,General Merchandise,,N,,,,,,,47.00,41.23,4806517213096,,,Y,Y,47.00,0.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
aficionado-fresh-110ml,10966,Aficionado Fresh 110ml,General Merchandise,,N,,,,,,,90.00,79.50,4806517214475,,,Y,Y,90.00,2.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
aficionado-fresh-55ml,10967,Aficionado Fresh 55ml,General Merchandise,,N,,,,,,,47.00,41.23,4806517210026,,,Y,Y,47.00,1.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
aficionado-sporty-110ml,10963,Aficionado Sporty 110ml,General Merchandise,,N,,,,,,,87.00,79.50,4806517214499,,,Y,Y,90.00,-1.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
aficionado-sporty-55ml,10962,Aficionado Sporty 55ml,General Merchandise,,N,,,,,,,47.00,41.23,4806517210019,,,Y,Y,47.00,3.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
alaska-1.4kg,11694,Alaska 1.4kg,Milk / Allpcon,,N,,,,,,,456.00,443.17,,,,Y,N,456.00,0.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
alaska-1.9kg,10218,Alaska 1.9kg,Milk / Allpcon,,N,,,,,,,560.00,553.83,,,,Y,Y,575.00,2.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
alaska-300g,10727,Alaska 300g,Milk / Allpcon,,N,,,,,,,100.00,84.50,4800575144590,,,Y,Y,95.00,0.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
alaska-450g,10728,Alaska 450g,Milk / Allpcon,,N,,,,,,,145.00,145.50,4800575230453,,,Y,Y,153.00,3.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
alaska-700g,10923,Alaska 680g,Milk / Allpcon,,N,,,,,,,220.00,211.25,4800575144606,,,Y,Y,220.00,6.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
alaska-900g,10729,Alaska 840g,Milk / Allpcon,,N,,,,,,,272.00,248.75,4800575144613,,,Y,Y,260.00,3.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
alaxan-fr,10000,Alaxan FR Cap,Branded / Unilab,,N,,,,,,,9.00,8.00,,,,Y,Y,9.00,125.000,100.000,N,N,N,N,N,N,N,N,N,N,N,N
alcohol-1gal,11785,Alcohol 1Gal,Generics,,N,,,,,,,500.00,320.00,,,,Y,Y,450.00,1.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
alcoplus-blue-150ml,11246,Alcoplus Blue 150ml,General Merchandise,,N,,,,,,,35.00,28.13,4806515160811,,,Y,Y,35.00,4.000,5.000,N,N,N,N,N,N,N,N,N,N,N,N
alcoplus-blue-250ml,11504,Alcoplus Blue 250ml,General Merchandise,,N,,,,,,,50.00,41.48,4806515160859,,,Y,Y,50.00,3.000,5.000,N,N,N,N,N,N,N,N,N,N,N,N
alcoplus-blue-500ml,11505,Alcoplus Blue 500ml,General Merchandise,,N,,,,,,,80.00,70.33,4806515160828,,,Y,Y,80.00,6.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
alcoplus-blue-60ml,11584,Alcoplus Blue 60ml,General Merchandise,,N,,,,,,,22.00,16.50,,,,Y,Y,22.00,2.000,2.000,N,N,N,N,N,N,N,N,N,N,N,N
alcoplus-red-150ml,11508,Alcoplus Red 150ml,General Merchandise,,N,,,,,,,40.00,29.35,4806515160781,,,Y,Y,40.00,8.000,5.000,N,N,N,N,N,N,N,N,N,N,N,N
alcoplus-red-250ml,11507,Alcoplus Red 250ml,General Merchandise,,N,,,,,,,55.00,44.38,4806515160842,,,Y,Y,55.00,8.000,5.000,N,N,N,N,N,N,N,N,N,N,N,N
alcoplus-red-500ml,11506,Alcoplus Red 500ml,General Merchandise,,N,,,,,,,90.00,80.29,4806515160798,,,Y,Y,90.00,3.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
alcoplus-red-60ml,11597,Alcoplus Red 60ml,General Merchandise,,N,,,,,,,23.00,17.22,,,,Y,Y,23.00,5.000,2.000,N,N,N,N,N,N,N,N,N,N,N,N
algesia,10018,Algesia Tab,Branded / Unilab,,N,,,,,,,56.50,52.33,,,,Y,Y,58.00,22.000,5.000,N,N,N,N,N,N,N,N,N,N,N,N
algina-sachet,11900,Algina Sachet,Branded / Unilab,,N,,,,,,,36.00,32.24,,,,Y,Y,36.00,1.000,5.000,N,N,N,N,N,N,N,N,N,N,N,N
allerkid-drops,10287,Allerkid Drops 10ml,Branded / Unilab,,N,,,,,,,205.00,184.99,4807788519948,,,Y,Y,205.00,4.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
